SETTLEMENTDATE,TOTALDEMAND,RRP,TOTALDEMAND_lag_1,TOTALDEMAND_lag_2,TOTALDEMAND_lag_3
2018-01-06 23:00:00,0.35076209047888063,0.11919711785898096,0.44647066149089076,0.5295587225796263,0.6129793819443179
2018-01-07 00:00:00,0.25248081864737304,0.09719505918682447,0.35076209047888063,0.44647066149089076,0.5295587225796263
2018-01-07 01:00:00,0.17433389221993412,0.10702521873391663,0.25248081864737304,0.35076209047888063,0.44647066149089076
2018-01-07 02:00:00,0.10850449235479581,0.07429233144621716,0.17433389221993412,0.25248081864737304,0.35076209047888063
2018-01-07 03:00:00,0.08672158335003916,0.07256819351518268,0.10850449235479581,0.17433389221993412,0.25248081864737304
2018-01-07 04:00:00,0.07077509066720122,0.06829644879053007,0.08672158335003916,0.10850449235479581,0.17433389221993412
2018-01-07 05:00:00,0.07011900639682161,0.05923829130211011,0.07077509066720122,0.08672158335003916,0.10850449235479581
2018-01-07 06:00:00,0.10824631104469273,0.07336592897581057,0.07011900639682161,0.07077509066720122,0.08672158335003916
2018-01-07 07:00:00,0.20692852326365474,0.08690169840452905,0.10824631104469273,0.07011900639682161,0.07077509066720122
2018-01-07 08:00:00,0.33933301136605243,0.13422542460113224,0.20692852326365474,0.10824631104469273,0.07011900639682161
2018-01-07 09:00:00,0.49856025951777816,0.14575398867730313,0.33933301136605243,0.20692852326365474,0.10824631104469273
2018-01-07 10:00:00,0.6373349917685724,0.19222851260936696,0.49856025951777816,0.33933301136605243,0.20692852326365474
2018-01-07 11:00:00,0.7324360773450458,0.20959855892949042,0.6373349917685724,0.49856025951777816,0.33933301136605243
2018-01-07 12:00:00,0.7917874043969796,0.28103448275862064,0.7324360773450458,0.6373349917685724,0.49856025951777816
2018-01-07 13:00:00,0.8454716516921508,0.2771744724652599,0.7917874043969796,0.7324360773450458,0.6373349917685724
2018-01-07 14:00:00,0.8779576947142693,0.3009006690684508,0.8454716516921508,0.7917874043969796,0.7324360773450458
2018-01-07 15:00:00,0.9177244506812949,0.4097529593412249,0.8779576947142693,0.8454716516921508,0.7917874043969796
2018-01-07 16:00:00,0.938766227454697,0.45110653628409675,0.9177244506812949,0.8779576947142693,0.8454716516921508
2018-01-07 17:00:00,0.9439943989842843,0.48497169325784867,0.938766227454697,0.9177244506812949,0.8779576947142693
2018-01-07 18:00:00,0.8617499832941504,0.3165465774575399,0.9439943989842843,0.938766227454697,0.9177244506812949
2018-01-07 19:00:00,0.7521611294369217,0.3310602161605764,0.8617499832941504,0.9439943989842843,0.938766227454697
2018-01-07 20:00:00,0.6774267524436103,0.2522388059701492,0.7521611294369217,0.8617499832941504,0.9439943989842843
2018-01-07 21:00:00,0.5628906890707296,0.1916623777663407,0.6774267524436103,0.7521611294369217,0.8617499832941504
2018-01-07 22:00:00,0.4665807074775382,0.1831446217189912,0.5628906890707296,0.6774267524436103,0.7521611294369217
2018-01-07 23:00:00,0.3579190282662974,0.16412763767370048,0.4665807074775382,0.5628906890707296,0.6774267524436103
2018-01-08 00:00:00,0.2818990602200311,0.1420741121976325,0.3579190282662974,0.4665807074775382,0.5628906890707296
2018-01-08 01:00:00,0.19348259250484467,0.13250128667009778,0.2818990602200311,0.3579190282662974,0.4665807074775382
2018-01-08 02:00:00,0.13167322750937038,0.07292846114256302,0.19348259250484467,0.2818990602200311,0.3579190282662974
2018-01-08 03:00:00,0.12643974048222195,0.07388059701492536,0.13167322750937038,0.19348259250484467,0.2818990602200311
2018-01-08 04:00:00,0.14832516265422535,0.0749871332990221,0.12643974048222195,0.13167322750937038,0.19348259250484467
2018-01-08 05:00:00,0.21297300334724478,0.1172928461142563,0.14832516265422535,0.12643974048222195,0.13167322750937038
2018-01-08 06:00:00,0.33086390503787666,0.1239063304168811,0.21297300334724478,0.14832516265422535,0.12643974048222195
2018-01-08 07:00:00,0.4606167192141568,0.18795676788471433,0.33086390503787666,0.21297300334724478,0.14832516265422535
2018-01-08 08:00:00,0.553723733848481,0.21165723108594955,0.4606167192141568,0.33086390503787666,0.21297300334724478
2018-01-08 09:00:00,0.6103709913554823,0.2293103448275862,0.553723733848481,0.4606167192141568,0.33086390503787666
2018-01-08 10:00:00,0.6681117226464496,0.2466546577457539,0.6103709913554823,0.553723733848481,0.4606167192141568
2018-01-08 11:00:00,0.724605590080978,0.2921770458054555,0.6681117226464496,0.6103709913554823,0.553723733848481
2018-01-08 12:00:00,0.7769791875489784,0.2990993309315491,0.724605590080978,0.6681117226464496,0.6103709913554823
2018-01-08 13:00:00,0.8551671192433162,0.3621461657231086,0.7769791875489784,0.724605590080978,0.6681117226464496
2018-01-08 14:00:00,0.9000344747984668,0.3272516726711271,0.8551671192433162,0.7769791875489784,0.724605590080978
2018-01-08 15:00:00,0.9382529022616682,0.3157231085949563,0.9000344747984668,0.8551671192433162,0.7769791875489784
2018-01-08 16:00:00,0.924743185532127,0.3203036541430777,0.9382529022616682,0.9000344747984668,0.8551671192433162
2018-01-08 17:00:00,0.8411061094810253,0.28504889346371587,0.924743185532127,0.9382529022616682,0.9000344747984668
2018-01-08 18:00:00,0.7684174396918835,0.25573854863612966,0.8411061094810253,0.924743185532127,0.9382529022616682
2018-01-08 19:00:00,0.7011490587013176,0.2563561502830674,0.7684174396918835,0.8411061094810253,0.924743185532127
2018-01-08 20:00:00,0.654813107105757,0.25854348944930516,0.7011490587013176,0.7684174396918835,0.8411061094810253
2018-01-08 21:00:00,0.566076190823325,0.24078744209984557,0.654813107105757,0.7011490587013176,0.7684174396918835
2018-01-08 22:00:00,0.47191367024475595,0.20954709212557898,0.566076190823325,0.654813107105757,0.7011490587013176
2018-01-08 23:00:00,0.3784983567518969,0.2215903242408646,0.47191367024475595,0.566076190823325,0.654813107105757
2018-01-09 00:00:00,0.3016347433070292,0.2002573340195574,0.3784983567518969,0.47191367024475595,0.566076190823325
2018-01-09 01:00:00,0.22915717470673647,0.18345342254246008,0.3016347433070292,0.3784983567518969,0.47191367024475595
2018-01-09 02:00:00,0.17627480818647379,0.1630468347915594,0.22915717470673647,0.3016347433070292,0.3784983567518969
2018-01-09 03:00:00,0.15682844003815,0.11605764282038081,0.17627480818647379,0.22915717470673647,0.3016347433070292
2018-01-09 04:00:00,0.15497788753014652,0.07925887802367473,0.15682844003815,0.17627480818647379,0.22915717470673647
2018-01-09 05:00:00,0.21937514048100692,0.08556356150283065,0.15497788753014652,0.15682844003815,0.17627480818647379
2018-01-09 06:00:00,0.3390998888301652,0.09984559958826555,0.21937514048100692,0.15497788753014652,0.15682844003815
2018-01-09 07:00:00,0.4534240916574026,0.14356664951106532,0.3390998888301652,0.21937514048100692,0.15497788753014652
2018-01-09 08:00:00,0.5108124813957586,0.14827586206896548,0.4534240916574026,0.3390998888301652,0.21937514048100692
2018-01-09 09:00:00,0.5409437589983781,0.15609881626350997,0.5108124813957586,0.4534240916574026,0.3390998888301652
2018-01-09 10:00:00,0.5406939306130137,0.1584920226453937,0.5409437589983781,0.5108124813957586,0.4534240916574026
2018-01-09 11:00:00,0.5448901362589833,0.2206896551724138,0.5406939306130137,0.5409437589983781,0.5108124813957586
2018-01-09 12:00:00,0.5478045476359704,0.22501286670097784,0.5448901362589833,0.5406939306130137,0.5409437589983781
2018-01-09 13:00:00,0.594739631742329,0.2270972722593927,0.5478045476359704,0.5448901362589833,0.5406939306130137
2018-01-09 14:00:00,0.619162824321287,0.16731857951621204,0.594739631742329,0.5478045476359704,0.5448901362589833
2018-01-09 15:00:00,0.6701407240011422,0.17864127637673696,0.619162824321287,0.594739631742329,0.5478045476359704
2018-01-09 16:00:00,0.7100585919702576,0.23504889346371585,0.6701407240011422,0.619162824321287,0.594739631742329
2018-01-09 17:00:00,0.7425917151136302,0.3687853834276891,0.7100585919702576,0.6701407240011422,0.619162824321287
2018-01-09 18:00:00,0.6730012210457255,0.26556870818322176,0.7425917151136302,0.7100585919702576,0.6701407240011422
2018-01-09 19:00:00,0.5591478194310291,0.17949047864127632,0.6730012210457255,0.7425917151136302,0.7100585919702576
2018-01-09 20:00:00,0.47965759083425985,0.17583633556356149,0.5591478194310291,0.6730012210457255,0.7425917151136302
2018-01-09 21:00:00,0.39675709087374644,0.1509264024704066,0.47965759083425985,0.5591478194310291,0.6730012210457255
2018-01-09 22:00:00,0.3279046916100187,0.1363355635615028,0.39675709087374644,0.47965759083425985,0.5591478194310291
2018-01-09 23:00:00,0.275343533013796,0.14490478641276378,0.3279046916100187,0.39675709087374644,0.47965759083425985
2018-01-10 00:00:00,0.22021043295486986,0.11415337107565618,0.275343533013796,0.3279046916100187,0.39675709087374644
2018-01-10 01:00:00,0.15146889978312772,0.088677303139475,0.22021043295486986,0.275343533013796,0.3279046916100187
2018-01-10 02:00:00,0.09139010892213856,0.07040658775090064,0.15146889978312772,0.22021043295486986,0.275343533013796
2018-01-10 03:00:00,0.0745566875034171,0.08396809058157487,0.09139010892213856,0.15146889978312772,0.22021043295486986
2018-01-10 04:00:00,0.09074541500367522,0.08530622748327324,0.0745566875034171,0.09139010892213856,0.15146889978312772
2018-01-10 05:00:00,0.1500496619343551,0.09104477611940295,0.09074541500367522,0.0745566875034171,0.09139010892213856
2018-01-10 06:00:00,0.25263344936305154,0.11729284611425628,0.1500496619343551,0.09074541500367522,0.0745566875034171
2018-01-10 07:00:00,0.3448755566085303,0.21644364384971693,0.25263344936305154,0.1500496619343551,0.09074541500367522
2018-01-10 08:00:00,0.39155929361593556,0.17328872876994336,0.3448755566085303,0.25263344936305154,0.1500496619343551
2018-01-10 09:00:00,0.3933468195100023,0.22153885743695317,0.39155929361593556,0.3448755566085303,0.25263344936305154
2018-01-10 10:00:00,0.40014458153365773,0.2360524961399897,0.3933468195100023,0.39155929361593556,0.3448755566085303
2018-01-10 11:00:00,0.38932526592674943,0.2430777148739063,0.40014458153365773,0.3933468195100023,0.39155929361593556
2018-01-10 12:00:00,0.3866029718187507,0.229130211013896,0.38932526592674943,0.40014458153365773,0.3933468195100023
2018-01-10 13:00:00,0.39403024062498093,0.19387545033453418,0.3866029718187507,0.38932526592674943,0.40014458153365773
2018-01-10 14:00:00,0.408686586114098,0.1983530622748327,0.39403024062498093,0.3866029718187507,0.38932526592674943
2018-01-10 15:00:00,0.437599096061672,0.20509521358723623,0.408686586114098,0.39403024062498093,0.3866029718187507
2018-01-10 16:00:00,0.45358811272499755,0.17246525990735975,0.437599096061672,0.408686586114098,0.39403024062498093
2018-01-10 17:00:00,0.45040944518355175,0.1817807514153371,0.45358811272499755,0.437599096061672,0.408686586114098
2018-01-10 18:00:00,0.41546232679071515,0.160036026762738,0.45040944518355175,0.45358811272499755,0.437599096061672
2018-01-10 19:00:00,0.39095028946681,0.15110653628409673,0.41546232679071515,0.45040944518355175,0.45358811272499755
2018-01-10 20:00:00,0.3754335927296143,0.12812660833762218,0.39095028946681,0.41546232679071515,0.45040944518355175
2018-01-10 21:00:00,0.32655075844556636,0.10419454451878535,0.3754335927296143,0.39095028946681,0.41546232679071515
2018-01-10 22:00:00,0.285700400332902,0.1034225424601132,0.32655075844556636,0.3754335927296143,0.39095028946681
2018-01-10 23:00:00,0.246786402046011,0.09436438497169325,0.285700400332902,0.32655075844556636,0.3754335927296143
2018-01-11 00:00:00,0.19359042116965253,0.09971693257848685,0.246786402046011,0.285700400332902,0.32655075844556636
2018-01-11 01:00:00,0.12183955702162036,0.07758620689655168,0.19359042116965253,0.246786402046011,0.285700400332902
2018-01-11 02:00:00,0.060916361405235264,0.11598044261451362,0.12183955702162036,0.19359042116965253,0.246786402046011
2018-01-11 03:00:00,0.05147603773699527,0.10030880082346885,0.060916361405235264,0.12183955702162036,0.19359042116965253
2018-01-11 04:00:00,0.07971651692150677,0.10640761708697888,0.05147603773699527,0.060916361405235264,0.12183955702162036
2018-01-11 05:00:00,0.14836692727791856,0.09132784354091608,0.07971651692150677,0.05147603773699527,0.060916361405235264
2018-01-11 06:00:00,0.24707951376865733,0.10931549150797734,0.14836692727791856,0.07971651692150677,0.05147603773699527
2018-01-11 07:00:00,0.3394279309653552,0.10934122490993306,0.24707951376865733,0.14836692727791856,0.07971651692150677
2018-01-11 08:00:00,0.3995674703698978,0.1255790015440041,0.3394279309653552,0.24707951376865733,0.14836692727791856
